Descritor,Modelo,RMSE,MAE,MSE,R2,Rank RMSE,Rank MAE,Rank R2,Rank Final
AAC,Bayesian Ridge,15.2901842842445,12.044500456161561,238.38024007395484,0.32984695131003916,3.0,3.0,3.0,3.0
AAC,Random Forest,13.986639362976922,11.082724677011498,199.09674122163307,0.44037676401536413,2.0,2.0,2.0,2.0
AAC,SVR,17.969577233865596,14.32608163856965,326.61894486928634,0.10027268091449534,11.0,11.0,10.0,10.666666666666666
AAC,KNN,17.17208362846163,13.786134666666666,296.61112043255173,0.15855762487408154,8.0,9.0,8.0,8.333333333333334
AAC,MLP,43.282026829826975,34.79755681020496,1909.2476640123489,-4.498857582985524,17.0,17.0,17.0,17.0
AAL,Bayesian Ridge,17.412744293519147,13.62321865904462,314.3551095337873,0.0847348157267667,9.0,8.0,11.0,9.333333333333334
AAL,Random Forest,16.18482881029805,12.946412258620697,265.0927814764527,0.26281277413922105,7.0,7.0,6.0,6.666666666666667
AAL,SVR,19.002865184170535,15.24144544979858,365.26946438533685,-0.00512125340333347,14.0,13.0,13.0,13.333333333333334
AAL,KNN,18.8784326204622,15.441607057471263,361.2113602927954,-0.008084867706771392,13.0,15.0,14.0,14.0
AAL,MLP,69.7112280002399,56.222279172911975,4923.486904691658,-12.860704411080272,19.0,19.0,19.0,19.0
CKSNAP,Bayesian Ridge,16.15057387041068,12.785658503450641,264.7771030629593,0.25843072629777053,6.0,6.0,7.0,6.333333333333333
CKSNAP,Random Forest,15.622065579192835,12.437582367816095,246.77446261439513,0.3123516300221631,4.0,4.0,4.0,4.0
CKSNAP,SVR,19.08157597616347,15.31039138402934,368.2425903993655,-0.013514044326580954,15.0,14.0,15.0,14.666666666666666
CKSNAP,KNN,19.595858054502255,15.616624022988503,387.40993675597707,-0.07872438084255404,16.0,16.0,16.0,16.0
CKSNAP,MLP,100.11568227564747,84.00177408992458,10086.251291152254,-28.3371070775988,20.0,20.0,20.0,20.0
CKSAAGP,Bayesian Ridge,16.088278206776874,12.764163228918319,262.59407188388394,0.26839949051687956,5.0,5.0,5.0,5.0
CKSAAGP,Random Forest,13.852733748338494,10.999410205747129,195.0810731588445,0.4546352220901483,1.0,1.0,1.0,1.0
CKSAAGP,SVR,18.342234460999087,14.708797268989596,340.26419331044445,0.06321349789233596,12.0,12.0,12.0,12.0
CKSAAGP,KNN,17.670833694099095,14.167973126436781,315.5489096703585,0.11716983681033792,10.0,10.0,9.0,9.666666666666666
CKSAAGP,MLP,47.66359857347618,36.87770279058038,2313.523274575556,-5.467527781267028,18.0,18.0,18.0,18.0
